year,obs.hours,species,spcode,count,NE Urban,NE Deciduous Forest ,NE Evergreen Forest, NE Mixed Forest,NE Agriculture,dummy temp
1984,941,AMKE,1,331,0.17,1.81,0.7,1.05,0.9,19
1985,802,AMKE,1,383,0.17,1.81,0.7,1.05,0.9,19
1986,822,AMKE,1,455,0.17,1.81,0.7,1.05,0.9,19
1987,910,AMKE,1,576,0.17,1.81,0.7,1.05,0.9,19
1988,969,AMKE,1,634,0.17,1.81,0.7,1.05,0.9,19
1989,921,AMKE,1,839,0.17,1.81,0.7,1.05,0.9,19
1990,965,AMKE,1,726,0.19,1.85,0.71,1.08,0.8,19
1991,992,AMKE,1,632,0.19,1.85,0.71,1.08,0.8,19
1992,957,AMKE,1,546,0.19,1.85,0.71,1.08,0.8,19
1993,986,AMKE,1,646,0.19,1.85,0.71,1.08,0.8,19
1994,1057,AMKE,1,688,0.19,1.85,0.71,1.08,0.8,19
1995,1020,AMKE,1,655,0.19,1.85,0.71,1.08,0.8,19
1996,1044,AMKE,1,365,0.19,1.85,0.71,1.08,0.8,19
1997,1050,AMKE,1,643,0.19,1.85,0.71,1.08,0.8,19
1998,1157,AMKE,1,794,0.19,1.85,0.71,1.08,0.8,19
1999,1088,AMKE,1,729,0.19,1.85,0.71,1.08,0.8,19
2000,1126.55,AMKE,1,520,0.2,1.84,0.71,1.07,0.78,19
2001,1137.37,AMKE,1,581,0.2,1.84,0.71,1.07,0.78,19
2002,1038.8,AMKE,1,479,0.2,1.84,0.71,1.07,0.78,19
2003,1034.09,AMKE,1,375,0.2,1.84,0.71,1.07,0.78,19
2004,1093.45,AMKE,1,358,0.2,1.84,0.71,1.07,0.78,19
2005,1120.68,AMKE,1,467,0.2,1.84,0.71,1.07,0.78,19
2006,1066.95,AMKE,1,411,0.2,1.84,0.71,1.07,0.78,19
2007,1045.15,AMKE,1,528,0.2,1.84,0.71,1.07,0.78,19
2008,1082.32,AMKE,1,294,0.2,1.84,0.71,1.07,0.78,19
2009,1032.67,AMKE,1,461,0.2,1.84,0.71,1.07,0.78,19
2010,1084.85,AMKE,1,565,0.2,1.84,0.71,1.07,0.78,19
2011,1055.32,AMKE,1,386,37.86,1.57,300,39.9,66.99,19
2012,1095.45,AMKE,1,514,37.86,1.57,300,39.9,66.99,19
2013,1098.2,AMKE,1,318,37.86,1.57,300,39.9,66.99,19
2014,1101.87,AMKE,1,380,37.86,1.57,300,39.9,66.99,19
2015,1115.33,AMKE,1,238,37.86,1.57,300,39.9,66.99,19
2016,1114.33,AMKE,1,218,37.86,1.57,300,39.9,66.99,19
2017,1020.72,AMKE,1,239,37.86,1.57,300,39.9,66.99,19
2018,1018.6,AMKE,1,421,37.86,1.57,300,39.9,66.99,19
1946,594,BAEA,2,39,0.09,1.65,0.63,1.26,1.39,35
1947,592,BAEA,2,89,0.09,1.65,0.63,1.26,1.39,35
1948,577,BAEA,2,79,0.09,1.65,0.63,1.26,1.39,35
1949,640,BAEA,2,84,0.09,1.65,0.63,1.26,1.39,35
1950,625,BAEA,2,116,0.11,1.73,0.6,1,1.21,31
1951,561,BAEA,2,87,0.11,1.73,0.6,1,1.21,31
1952,636,BAEA,2,91,0.11,1.73,0.6,1,1.21,31
1953,651,BAEA,2,59,0.11,1.73,0.6,1,1.21,31
1954,630,BAEA,2,65,0.11,1.73,0.6,1,1.21,31
1955,630,BAEA,2,88,0.11,1.73,0.6,1,1.21,31
1956,586,BAEA,2,53,0.11,1.73,0.6,1,1.21,31
1957,601,BAEA,2,39,0.11,1.73,0.6,1,1.21,31
1958,654,BAEA,2,41,0.11,1.73,0.6,1,1.21,31
1959,623,BAEA,2,45,0.11,1.73,0.6,1,1.21,31
1960,635,BAEA,2,23,0.15,1.47,0.7,1.1,1.2,21
1961,673,BAEA,2,40,0.15,1.47,0.7,1.1,1.2,21
1962,650,BAEA,2,35,0.15,1.47,0.7,1.1,1.2,21
1963,718,BAEA,2,21,0.15,1.47,0.7,1.1,1.2,21
1964,711,BAEA,2,27,0.15,1.47,0.7,1.1,1.2,21
1965,688,BAEA,2,36,0.15,1.47,0.7,1.1,1.2,21
1966,575,BAEA,2,25,0.15,1.47,0.7,1.1,1.2,21
1967,552,BAEA,2,30,0.15,1.47,0.7,1.1,1.2,21
1968,511,BAEA,2,41,0.15,1.47,0.7,1.1,1.2,21
1969,817,BAEA,2,30,0.15,1.47,0.7,1.1,1.2,21
1970,459,BAEA,2,25,0.15,1.8,0.69,1.05,0.95,24
1971,320,BAEA,2,14,0.15,1.8,0.69,1.05,0.95,24
1972,437,BAEA,2,14,0.15,1.8,0.69,1.05,0.95,24
1973,518,BAEA,2,17,0.15,1.8,0.69,1.05,0.95,24
1974,531,BAEA,2,13,0.15,1.8,0.69,1.05,0.95,24
1975,490,BAEA,2,19,0.15,1.8,0.69,1.05,0.95,24
1976,557,BAEA,2,18,0.15,1.8,0.69,1.05,0.95,24
1977,541,BAEA,2,19,0.15,1.8,0.69,1.05,0.95,24
1978,664,BAEA,2,27,0.15,1.8,0.69,1.05,0.95,24
1979,752,BAEA,2,16,0.15,1.8,0.69,1.05,0.95,24
1980,878,BAEA,2,22,0.17,1.81,0.7,1.05,0.9,24
1981,814,BAEA,2,28,0.17,1.81,0.7,1.05,0.9,24
1982,875,BAEA,2,33,0.17,1.81,0.7,1.05,0.9,24
1983,912,BAEA,2,24,0.17,1.81,0.7,1.05,0.9,24
1984,941,BAEA,2,41,0.17,1.81,0.7,1.05,0.9,24
1985,802,BAEA,2,37,0.17,1.81,0.7,1.05,0.9,24
1986,822,BAEA,2,56,0.17,1.81,0.7,1.05,0.9,24
1987,910,BAEA,2,65,0.17,1.81,0.7,1.05,0.9,24
1988,969,BAEA,2,57,0.17,1.81,0.7,1.05,0.9,24
1989,921,BAEA,2,62,0.17,1.81,0.7,1.05,0.9,24
1990,965,BAEA,2,76,0.19,1.85,0.71,1.08,0.8,24
1991,992,BAEA,2,70,0.19,1.85,0.71,1.08,0.8,24
1992,957,BAEA,2,91,0.19,1.85,0.71,1.08,0.8,24
1993,986,BAEA,2,81,0.19,1.85,0.71,1.08,0.8,24
1994,1057,BAEA,2,80,0.19,1.85,0.71,1.08,0.8,24
1995,1020,BAEA,2,130,0.19,1.85,0.71,1.08,0.8,24
1996,1044,BAEA,2,103,0.19,1.85,0.71,1.08,0.8,24
1997,1050,BAEA,2,133,0.19,1.85,0.71,1.08,0.8,24
1998,1157,BAEA,2,159,0.19,1.85,0.71,1.08,0.8,24
1999,1088,BAEA,2,170,0.19,1.85,0.71,1.08,0.8,24
2000,1126.55,BAEA,2,164,0.2,1.84,0.71,1.07,0.78,24
2001,1137.37,BAEA,2,158,0.2,1.84,0.71,1.07,0.78,24
2002,1038.8,BAEA,2,215,0.2,1.84,0.71,1.07,0.78,24
2003,1034.09,BAEA,2,218,0.2,1.84,0.71,1.07,0.78,24
2004,1093.45,BAEA,2,219,0.2,1.84,0.71,1.07,0.78,24
2005,1120.68,BAEA,2,199,0.2,1.84,0.71,1.07,0.78,24
2006,1066.95,BAEA,2,197,0.2,1.84,0.71,1.07,0.78,24
2007,1045.15,BAEA,2,231,0.2,1.84,0.71,1.07,0.78,24
2008,1082.32,BAEA,2,255,0.2,1.84,0.71,1.07,0.78,24
2009,1032.67,BAEA,2,219,0.2,1.84,0.71,1.07,0.78,24
2010,1084.85,BAEA,2,408,0.2,1.84,0.71,1.07,0.78,24
2011,1055.32,BAEA,2,306,37.86,1.57,300,39.9,66.99,24
2012,1095.45,BAEA,2,352,37.86,1.57,300,39.9,66.99,24
2013,1098.2,BAEA,2,354,37.86,1.57,300,39.9,66.99,24
2014,1101.87,BAEA,2,412,37.86,1.57,300,39.9,66.99,24
2015,1115.33,BAEA,2,309,37.86,1.57,300,39.9,66.99,24
2016,1114.33,BAEA,2,492,37.86,1.57,300,39.9,66.99,24
2017,1020.72,BAEA,2,421,37.86,1.57,300,39.9,66.99,24
2018,1018.6,BAEA,2,541,37.86,1.57,300,39.9,66.99,24
1985,802,BLVU,3,4,0.17,1.81,0.7,1.05,0.9,24
1986,822,BLVU,3,28,0.17,1.81,0.7,1.05,0.9,24
1987,910,BLVU,3,30,0.17,1.81,0.7,1.05,0.9,24
1988,969,BLVU,3,16,0.17,1.81,0.7,1.05,0.9,24
1989,921,BLVU,3,53,0.17,1.81,0.7,1.05,0.9,24
1990,965,BLVU,3,28,0.19,1.85,0.71,1.08,0.8,24
1991,992,BLVU,3,43,0.19,1.85,0.71,1.08,0.8,24
1992,957,BLVU,3,21,0.19,1.85,0.71,1.08,0.8,24
1993,986,BLVU,3,50,0.19,1.85,0.71,1.08,0.8,24
1994,1057,BLVU,3,56,0.19,1.85,0.71,1.08,0.8,24
1995,1020,BLVU,3,43,0.19,1.85,0.71,1.08,0.8,24
1996,1044,BLVU,3,50,0.19,1.85,0.71,1.08,0.8,24
1997,1050,BLVU,3,93,0.19,1.85,0.71,1.08,0.8,24
1998,1157,BLVU,3,55,0.19,1.85,0.71,1.08,0.8,24
1999,1088,BLVU,3,80,0.19,1.85,0.71,1.08,0.8,24
2000,1126.55,BLVU,3,9,0.2,1.84,0.71,1.07,0.78,24
2001,1137.37,BLVU,3,48,0.2,1.84,0.71,1.07,0.78,24
2002,1038.8,BLVU,3,48,0.2,1.84,0.71,1.07,0.78,24
2003,1034.09,BLVU,3,23,0.2,1.84,0.71,1.07,0.78,24
2004,1093.45,BLVU,3,64,0.2,1.84,0.71,1.07,0.78,24
2005,1120.68,BLVU,3,114,0.2,1.84,0.71,1.07,0.78,24
2006,1066.95,BLVU,3,89,0.2,1.84,0.71,1.07,0.78,24
2007,1045.15,BLVU,3,119,0.2,1.84,0.71,1.07,0.78,24
2008,1082.32,BLVU,3,38,0.2,1.84,0.71,1.07,0.78,24
2009,1032.67,BLVU,3,160,0.2,1.84,0.71,1.07,0.78,24
2010,1084.85,BLVU,3,135,0.2,1.84,0.71,1.07,0.78,24
2011,1055.32,BLVU,3,299,37.86,1.57,300,39.9,66.99,24
2012,1095.45,BLVU,3,119,37.86,1.57,300,39.9,66.99,24
2013,1098.2,BLVU,3,115,37.86,1.57,300,39.9,66.99,24
2014,1101.87,BLVU,3,196,37.86,1.57,300,39.9,66.99,24
2015,1115.33,BLVU,3,104,37.86,1.57,300,39.9,66.99,24
2016,1114.33,BLVU,3,113,37.86,1.57,300,39.9,66.99,24
2017,1020.72,BLVU,3,44,37.86,1.57,300,39.9,66.99,24
2018,1018.6,BLVU,3,69,37.86,1.57,300,39.9,66.99,24
1946,594,BWHA,4,2886,0.09,1.65,0.63,1.26,1.39,35
1947,592,BWHA,4,6664,0.09,1.65,0.63,1.26,1.39,35
1948,577,BWHA,4,15026,0.09,1.65,0.63,1.26,1.39,35
1949,640,BWHA,4,9579,0.09,1.65,0.63,1.26,1.39,35
1950,625,BWHA,4,5305,0.11,1.73,0.6,1,1.21,31
1951,561,BWHA,4,10997,0.11,1.73,0.6,1,1.21,31
1952,636,BWHA,4,12603,0.11,1.73,0.6,1,1.21,31
1953,651,BWHA,4,7247,0.11,1.73,0.6,1,1.21,31
1954,630,BWHA,4,5956,0.11,1.73,0.6,1,1.21,31
1955,630,BWHA,4,9542,0.11,1.73,0.6,1,1.21,31
1956,586,BWHA,4,8734,0.11,1.73,0.6,1,1.21,31
1957,601,BWHA,4,8935,0.11,1.73,0.6,1,1.21,31
1958,654,BWHA,4,8880,0.11,1.73,0.6,1,1.21,31
1959,623,BWHA,4,5301,0.11,1.73,0.6,1,1.21,31
1960,635,BWHA,4,11107,0.15,1.47,0.7,1.1,1.2,21
1961,673,BWHA,4,8642,0.15,1.47,0.7,1.1,1.2,21
1962,650,BWHA,4,8254,0.15,1.47,0.7,1.1,1.2,21
1963,718,BWHA,4,9791,0.15,1.47,0.7,1.1,1.2,21
1964,711,BWHA,4,10180,0.15,1.47,0.7,1.1,1.2,21
1965,688,BWHA,4,9235,0.15,1.47,0.7,1.1,1.2,21
1966,575,BWHA,4,10110,0.15,1.47,0.7,1.1,1.2,21
1967,552,BWHA,4,8000,0.15,1.47,0.7,1.1,1.2,21
1968,511,BWHA,4,14041,0.15,1.47,0.7,1.1,1.2,21
1969,817,BWHA,4,8515,0.15,1.47,0.7,1.1,1.2,21
1970,459,BWHA,4,9153,0.15,1.8,0.69,1.05,0.95,21
1971,320,BWHA,4,5603,0.15,1.8,0.69,1.05,0.95,21
1972,437,BWHA,4,8131,0.15,1.8,0.69,1.05,0.95,21
1973,518,BWHA,4,6404,0.15,1.8,0.69,1.05,0.95,21
1974,531,BWHA,4,9146,0.15,1.8,0.69,1.05,0.95,21
1975,490,BWHA,4,10390,0.15,1.8,0.69,1.05,0.95,21
1976,557,BWHA,4,8461,0.15,1.8,0.69,1.05,0.95,21
1977,541,BWHA,4,13009,0.15,1.8,0.69,1.05,0.95,21
1978,664,BWHA,4,29519,0.15,1.8,0.69,1.05,0.95,21
1979,752,BWHA,4,11173,0.15,1.8,0.69,1.05,0.95,21
1980,878,BWHA,4,10141,0.17,1.81,0.7,1.05,0.9,21
1981,814,BWHA,4,8660,0.17,1.81,0.7,1.05,0.9,21
1982,875,BWHA,4,7163,0.17,1.81,0.7,1.05,0.9,21
1983,912,BWHA,4,6922,0.17,1.81,0.7,1.05,0.9,21
1984,941,BWHA,4,13619,0.17,1.81,0.7,1.05,0.9,21
1985,802,BWHA,4,3415,0.17,1.81,0.7,1.05,0.9,21
1986,822,BWHA,4,13996,0.17,1.81,0.7,1.05,0.9,21
1987,910,BWHA,4,8409,0.17,1.81,0.7,1.05,0.9,21
1988,969,BWHA,4,5944,0.17,1.81,0.7,1.05,0.9,21
1989,921,BWHA,4,7504,0.17,1.81,0.7,1.05,0.9,21
1990,965,BWHA,4,4656,0.19,1.85,0.71,1.08,0.8,21
1991,992,BWHA,4,5858,0.19,1.85,0.71,1.08,0.8,21
1992,957,BWHA,4,10661,0.19,1.85,0.71,1.08,0.8,21
1993,986,BWHA,4,3592,0.19,1.85,0.71,1.08,0.8,21
1994,1057,BWHA,4,3513,0.19,1.85,0.71,1.08,0.8,21
1995,1020,BWHA,4,10077,0.19,1.85,0.71,1.08,0.8,21
1996,1044,BWHA,4,1809,0.19,1.85,0.71,1.08,0.8,21
1997,1050,BWHA,4,5518,0.19,1.85,0.71,1.08,0.8,21
1998,1157,BWHA,4,9935,0.19,1.85,0.71,1.08,0.8,21
1999,1088,BWHA,4,8694,0.19,1.85,0.71,1.08,0.8,21
2000,1126.55,BWHA,4,6435,0.2,1.84,0.71,1.07,0.78,21
2001,1137.37,BWHA,4,3842,0.2,1.84,0.71,1.07,0.78,21
2002,1038.8,BWHA,4,11858,0.2,1.84,0.71,1.07,0.78,21
2003,1034.09,BWHA,4,6122,0.2,1.84,0.71,1.07,0.78,21
2004,1093.45,BWHA,4,6387,0.2,1.84,0.71,1.07,0.78,21
2005,1120.68,BWHA,4,5242,0.2,1.84,0.71,1.07,0.78,21
2006,1066.95,BWHA,4,11798,0.2,1.84,0.71,1.07,0.78,21
2007,1045.15,BWHA,4,7837,0.2,1.84,0.71,1.07,0.78,21
2008,1082.32,BWHA,4,4296,0.2,1.84,0.71,1.07,0.78,21
2009,1032.67,BWHA,4,6441,0.2,1.84,0.71,1.07,0.78,21
2010,1084.85,BWHA,4,6710,0.2,1.84,0.71,1.07,0.78,21
2011,1055.32,BWHA,4,13319,37.86,1.57,300,39.9,66.99,21
2012,1095.45,BWHA,4,8383,37.86,1.57,300,39.9,66.99,21
2013,1098.2,BWHA,4,6436,37.86,1.57,300,39.9,66.99,21
2014,1101.87,BWHA,4,6370,37.86,1.57,300,39.9,66.99,21
2015,1115.33,BWHA,4,5645,37.86,1.57,300,39.9,66.99,21
2016,1114.33,BWHA,4,9363,37.86,1.57,300,39.9,66.99,21
2017,1020.72,BWHA,4,10754,37.86,1.57,300,39.9,66.99,21
2018,1018.6,BWHA,4,7937,37.86,1.57,300,39.9,66.99,21
1946,594,COHA,5,214,0.09,1.65,0.63,1.26,1.39,35
1947,592,COHA,5,128,0.09,1.65,0.63,1.26,1.39,35
1948,577,COHA,5,203,0.09,1.65,0.63,1.26,1.39,35
1949,640,COHA,5,174,0.09,1.65,0.63,1.26,1.39,35
1950,625,COHA,5,271,0.11,1.73,0.6,1,1.21,31
1951,561,COHA,5,235,0.11,1.73,0.6,1,1.21,31
1952,636,COHA,5,308,0.11,1.73,0.6,1,1.21,31
1953,651,COHA,5,155,0.11,1.73,0.6,1,1.21,31
1954,630,COHA,5,190,0.11,1.73,0.6,1,1.21,31
1955,630,COHA,5,281,0.11,1.73,0.6,1,1.21,31
1956,586,COHA,5,122,0.11,1.73,0.6,1,1.21,31
1957,601,COHA,5,200,0.11,1.73,0.6,1,1.21,31
1958,654,COHA,5,180,0.11,1.73,0.6,1,1.21,31
1959,623,COHA,5,180,0.11,1.73,0.6,1,1.21,31
1960,635,COHA,5,123,0.15,1.47,0.7,1.1,1.2,21
1961,673,COHA,5,104,0.15,1.47,0.7,1.1,1.2,21
1962,650,COHA,5,77,0.15,1.47,0.7,1.1,1.2,21
1963,718,COHA,5,74,0.15,1.47,0.7,1.1,1.2,21
1964,711,COHA,5,61,0.15,1.47,0.7,1.1,1.2,21
1965,688,COHA,5,100,0.15,1.47,0.7,1.1,1.2,21
1966,575,COHA,5,82,0.15,1.47,0.7,1.1,1.2,21
1967,552,COHA,5,76,0.15,1.47,0.7,1.1,1.2,21
1968,511,COHA,5,145,0.15,1.47,0.7,1.1,1.2,21
1969,817,COHA,5,111,0.15,1.47,0.7,1.1,1.2,21
1970,459,COHA,5,105,0.15,1.8,0.69,1.05,0.95,20
1971,320,COHA,5,69,0.15,1.8,0.69,1.05,0.95,20
1972,437,COHA,5,114,0.15,1.8,0.69,1.05,0.95,20
1973,518,COHA,5,81,0.15,1.8,0.69,1.05,0.95,20
1974,531,COHA,5,150,0.15,1.8,0.69,1.05,0.95,20
1975,490,COHA,5,126,0.15,1.8,0.69,1.05,0.95,20
1976,557,COHA,5,109,0.15,1.8,0.69,1.05,0.95,20
1977,541,COHA,5,231,0.15,1.8,0.69,1.05,0.95,20
1978,664,COHA,5,153,0.15,1.8,0.69,1.05,0.95,20
1979,752,COHA,5,336,0.15,1.8,0.69,1.05,0.95,20
1980,878,COHA,5,374,0.17,1.81,0.7,1.05,0.9,20
1981,814,COHA,5,756,0.17,1.81,0.7,1.05,0.9,20
1982,875,COHA,5,302,0.17,1.81,0.7,1.05,0.9,20
1983,912,COHA,5,352,0.17,1.81,0.7,1.05,0.9,20
1984,941,COHA,5,171,0.17,1.81,0.7,1.05,0.9,20
1985,802,COHA,5,291,0.17,1.81,0.7,1.05,0.9,20
1986,822,COHA,5,569,0.17,1.81,0.7,1.05,0.9,20
1987,910,COHA,5,590,0.17,1.81,0.7,1.05,0.9,20
1988,969,COHA,5,459,0.17,1.81,0.7,1.05,0.9,20
1989,921,COHA,5,786,0.17,1.81,0.7,1.05,0.9,20
1990,965,COHA,5,642,0.19,1.85,0.71,1.08,0.8,20
1991,992,COHA,5,578,0.19,1.85,0.71,1.08,0.8,20
1992,957,COHA,5,663,0.19,1.85,0.71,1.08,0.8,20
1993,986,COHA,5,562,0.19,1.85,0.71,1.08,0.8,20
1994,1057,COHA,5,573,0.19,1.85,0.71,1.08,0.8,20
1995,1020,COHA,5,643,0.19,1.85,0.71,1.08,0.8,20
1996,1044,COHA,5,536,0.19,1.85,0.71,1.08,0.8,20
1997,1050,COHA,5,723,0.19,1.85,0.71,1.08,0.8,20
1998,1157,COHA,5,1118,0.19,1.85,0.71,1.08,0.8,20
1999,1088,COHA,5,938,0.19,1.85,0.71,1.08,0.8,20
2000,1126.55,COHA,5,750,0.2,1.84,0.71,1.07,0.78,20
2001,1137.37,COHA,5,900,0.2,1.84,0.71,1.07,0.78,20
2002,1038.8,COHA,5,599,0.2,1.84,0.71,1.07,0.78,20
2003,1034.09,COHA,5,682,0.2,1.84,0.71,1.07,0.78,20
2004,1093.45,COHA,5,536,0.2,1.84,0.71,1.07,0.78,20
2005,1120.68,COHA,5,1124,0.2,1.84,0.71,1.07,0.78,20
2006,1066.95,COHA,5,931,0.2,1.84,0.71,1.07,0.78,20
2007,1045.15,COHA,5,742,0.2,1.84,0.71,1.07,0.78,20
2008,1082.32,COHA,5,530,0.2,1.84,0.71,1.07,0.78,20
2009,1032.67,COHA,5,612,0.2,1.84,0.71,1.07,0.78,20
2010,1084.85,COHA,5,756,0.2,1.84,0.71,1.07,0.78,20
2011,1055.32,COHA,5,558,37.86,1.57,300,39.9,66.99,20
2012,1095.45,COHA,5,580,37.86,1.57,300,39.9,66.99,20
2013,1098.2,COHA,5,396,37.86,1.57,300,39.9,66.99,20
2014,1101.87,COHA,5,554,37.86,1.57,300,39.9,66.99,20
2015,1115.33,COHA,5,396,37.86,1.57,300,39.9,66.99,20
2016,1114.33,COHA,5,369,37.86,1.57,300,39.9,66.99,20
2017,1020.72,COHA,5,357,37.86,1.57,300,39.9,66.99,20
2018,1018.6,COHA,5,597,37.86,1.57,300,39.9,66.99,20
1946,594,GOEA,6,68,0.09,1.65,0.63,1.26,1.39,35
1947,592,GOEA,6,33,0.09,1.65,0.63,1.26,1.39,35
1948,577,GOEA,6,41,0.09,1.65,0.63,1.26,1.39,35
1949,640,GOEA,6,47,0.09,1.65,0.63,1.26,1.39,35
1950,625,GOEA,6,65,0.11,1.73,0.6,1,1.21,31
1951,561,GOEA,6,55,0.11,1.73,0.6,1,1.21,31
1952,636,GOEA,6,81,0.11,1.73,0.6,1,1.21,31
1953,651,GOEA,6,30,0.11,1.73,0.6,1,1.21,31
1954,630,GOEA,6,40,0.11,1.73,0.6,1,1.21,31
1955,630,GOEA,6,57,0.11,1.73,0.6,1,1.21,31
1956,586,GOEA,6,42,0.11,1.73,0.6,1,1.21,31
1957,601,GOEA,6,37,0.11,1.73,0.6,1,1.21,31
1958,654,GOEA,6,39,0.11,1.73,0.6,1,1.21,31
1959,623,GOEA,6,31,0.11,1.73,0.6,1,1.21,31
1960,635,GOEA,6,23,0.15,1.47,0.7,1.1,1.2,21
1961,673,GOEA,6,48,0.15,1.47,0.7,1.1,1.2,21
1962,650,GOEA,6,37,0.15,1.47,0.7,1.1,1.2,21
1963,718,GOEA,6,23,0.15,1.47,0.7,1.1,1.2,21
1964,711,GOEA,6,24,0.15,1.47,0.7,1.1,1.2,21
1965,688,GOEA,6,34,0.15,1.47,0.7,1.1,1.2,21
1966,575,GOEA,6,12,0.15,1.47,0.7,1.1,1.2,21
1967,552,GOEA,6,30,0.15,1.47,0.7,1.1,1.2,21
1968,511,GOEA,6,27,0.15,1.47,0.7,1.1,1.2,21
1969,817,GOEA,6,22,0.15,1.47,0.7,1.1,1.2,21
1970,459,GOEA,6,15,0.15,1.8,0.69,1.05,0.95,18
1971,320,GOEA,6,23,0.15,1.8,0.69,1.05,0.95,18
1972,437,GOEA,6,33,0.15,1.8,0.69,1.05,0.95,18
1973,518,GOEA,6,46,0.15,1.8,0.69,1.05,0.95,18
1974,531,GOEA,6,27,0.15,1.8,0.69,1.05,0.95,18
1975,490,GOEA,6,27,0.15,1.8,0.69,1.05,0.95,18
1976,557,GOEA,6,40,0.15,1.8,0.69,1.05,0.95,18
1977,541,GOEA,6,28,0.15,1.8,0.69,1.05,0.95,18
1978,664,GOEA,6,28,0.15,1.8,0.69,1.05,0.95,18
1979,752,GOEA,6,33,0.15,1.8,0.69,1.05,0.95,18
1980,878,GOEA,6,63,0.17,1.81,0.7,1.05,0.9,18
1981,814,GOEA,6,52,0.17,1.81,0.7,1.05,0.9,18
1982,875,GOEA,6,53,0.17,1.81,0.7,1.05,0.9,18
1983,912,GOEA,6,56,0.17,1.81,0.7,1.05,0.9,18
1984,941,GOEA,6,36,0.17,1.81,0.7,1.05,0.9,18
1985,802,GOEA,6,58,0.17,1.81,0.7,1.05,0.9,18
1986,822,GOEA,6,43,0.17,1.81,0.7,1.05,0.9,18
1987,910,GOEA,6,98,0.17,1.81,0.7,1.05,0.9,18
1988,969,GOEA,6,66,0.17,1.81,0.7,1.05,0.9,18
1989,921,GOEA,6,45,0.17,1.81,0.7,1.05,0.9,18
1990,965,GOEA,6,77,0.19,1.85,0.71,1.08,0.8,18
1991,992,GOEA,6,58,0.19,1.85,0.71,1.08,0.8,18
1992,957,GOEA,6,56,0.19,1.85,0.71,1.08,0.8,18
1993,986,GOEA,6,70,0.19,1.85,0.71,1.08,0.8,18
1994,1057,GOEA,6,85,0.19,1.85,0.71,1.08,0.8,18
1995,1020,GOEA,6,100,0.19,1.85,0.71,1.08,0.8,18
1996,1044,GOEA,6,86,0.19,1.85,0.71,1.08,0.8,18
1997,1050,GOEA,6,98,0.19,1.85,0.71,1.08,0.8,18
1998,1157,GOEA,6,145,0.19,1.85,0.71,1.08,0.8,18
1999,1088,GOEA,6,129,0.19,1.85,0.71,1.08,0.8,18
